FID,FID_1,sFIPS,prFIPS,tFIPS,GeoID,TownName,CountyName,tFIPS20,cFIPS20,PRName,PUMA20code,PUMA20name,Shape__Area,Shape__Length
15,15,09,160,49460,0916049460,Morris,Litchfield,0900549460,09005,Northwest Hills Planning Region,20100,Northwest Hills,87005833.9101563,40627.399677557
16,16,09,140,75730,0914075730,Thomaston,Litchfield,0900575730,09005,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,56697103.609375,44793.0080712028
17,17,09,140,80490,0914080490,Watertown,Litchfield,0900580490,09005,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,136879696.695313,52540.6763745515
18,18,09,140,60750,0914060750,Plymouth,Litchfield,0900560750,09005,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,103782213.894531,43211.6875364887
19,19,09,160,79720,0916079720,Washington,Litchfield,0900579720,09005,Northwest Hills Planning Region,20100,Northwest Hills,179411852.609375,54728.0736130051
20,20,09,140,62290,0914062290,Prospect,New Haven,0900962290,09009,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,66743013.3203125,31756.5425385835
21,21,09,170,04580,0917004580,Bethany,New Haven,0900904580,09009,South Central Connecticut Planning Region,20602,South Central West,98908467.9023438,45447.5169864567
22,22,09,170,47535,0917047535,Milford,New Haven,0900947535,09009,South Central Connecticut Planning Region,20602,South Central West,113077941.542969,56050.173809206
23,23,09,170,57600,0917057600,Orange,New Haven,0900957600,09009,South Central Connecticut Planning Region,20602,South Central West,79962941.7460938,38441.2809620602
24,24,09,170,82870,0917082870,West Haven,New Haven,0900982870,09009,South Central Connecticut Planning Region,20602,South Central West,50100676.953125,43063.5460446148
25,25,09,120,74190,0912074190,Stratford,Fairfield,0900174190,09001,Greater Bridgeport Planning Region,20802,Bridgeport Suburban,91214885.3789063,52329.444228847
26,26,09,140,19550,0914019550,Derby,New Haven,0900919550,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,24847868.890625,27736.6182588687
27,27,09,170,52070,0917052070,New Haven,New Haven,0900952070,09009,South Central Connecticut Planning Region,20601,New Haven Town,92501480.484375,63420.6993395495
28,28,09,170,87700,0917087700,Woodbridge,New Haven,0900987700,09009,South Central Connecticut Planning Region,20602,South Central West,88277593.3632813,42446.0332699651
29,29,09,140,01220,0914001220,Ansonia,New Haven,0900901220,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,28454184.0195313,21839.7166188433
30,30,09,120,77200,0912077200,Trumbull,Fairfield,0900177200,09001,Greater Bridgeport Planning Region,20802,Bridgeport Suburban,107712005.925781,49041.923066746
31,31,09,120,08070,0912008070,Bridgeport,Fairfield,0900108070,09001,Greater Bridgeport Planning Region,20801,Bridgeport Town,88916667.2421875,50059.2510091258
32,32,09,120,23890,0912023890,Easton,Fairfield,0900123890,09001,Greater Bridgeport Planning Region,20802,Bridgeport Suburban,131545473.53125,59960.7320631915
33,33,09,190,63480,0919063480,Redding,Fairfield,0900163480,09001,Western Connecticut Planning Region,20902,Western Central,147093309.15625,52492.5849542446
34,34,09,130,57040,0913057040,Old Lyme,New London,0901157040,09011,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,119515333.113281,47074.148102414
35,35,09,130,81680,0913081680,Westbrook,Middlesex,0900781680,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,94442953.6328125,44741.1021378304
36,36,09,130,44210,0913044210,Lyme,New London,0901144210,09011,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,158779518.882813,58308.5596867879
37,37,09,130,26270,0913026270,Essex,Middlesex,0900726270,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,54536142.765625,32786.1091437724
38,38,09,130,57320,0913057320,Old Saybrook,Middlesex,0900757320,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,83024788.28125,37891.0497036289
39,39,09,180,23400,0918023400,East Lyme,New London,0901123400,09011,Southeastern Connecticut Planning Region,20401,Shoreline Southeastern,176280980.464844,66589.7361044614
40,40,09,180,80280,0918080280,Waterford,New London,0901180280,09011,Southeastern Connecticut Planning Region,20401,Shoreline Southeastern,163633188.488281,63863.0389490926
41,41,09,130,14300,0913014300,Chester,Middlesex,0900714300,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,77539963.6757813,36532.9142602443
42,42,09,130,19130,0913019130,Deep River,Middlesex,0900719130,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,65194096.28125,42707.5714135976
43,43,09,130,22280,0913022280,East Haddam,Middlesex,0900722280,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,261315387.707031,67816.3093489195
44,44,09,180,66210,0918066210,Salem,New London,0901166210,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,137497576.511719,49840.1390041508
45,45,09,180,48900,0918048900,Montville,New London,0901148900,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,203164124.546875,64696.1597082374
46,46,09,180,73770,0918073770,Stonington,New London,0901173770,09011,Southeastern Connecticut Planning Region,20401,Shoreline Southeastern,202288670.632813,66699.8847631509
47,47,09,180,55500,0918055500,North Stonington,New London,0901155500,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,253783630.699219,65847.3766268003
48,48,09,180,42600,0918042600,Ledyard,New London,0901142600,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,184513960.617188,55945.1585793509
49,49,09,180,34250,0918034250,Groton,New London,0901134250,09011,Southeastern Connecticut Planning Region,20401,Shoreline Southeastern,167611744.136719,56134.0698034997
50,50,09,180,62150,0918062150,Preston,New London,0901162150,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,146779782.730469,68786.7578894389
51,51,09,180,52350,0918052350,New London,New London,0901152350,09011,Southeastern Connecticut Planning Region,20401,Shoreline Southeastern,34293045.2382813,30394.8268423951
52,52,09,180,33900,0918033900,Griswold,New London,0901133900,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,171735905.355469,58673.6370403032
53,53,09,150,78600,0915078600,Voluntown,New London,0901178600,09011,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,184335234.519531,57719.5903106947
54,54,09,150,67400,0915067400,Scotland,Windham,0901567400,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,86857961.0820313,38283.5516630551
55,55,09,180,43230,0918043230,Lisbon,New London,0901143230,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,77352612.78125,42174.0701398737
56,56,09,150,36000,0915036000,Hampton,Windham,0901536000,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,118867980.097656,43314.3255672412
57,57,09,150,09190,0915009190,Brooklyn,Windham,0901509190,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,136331005.761719,53028.5937032974
58,58,09,150,12130,0915012130,Canterbury,Windham,0901512130,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,186943550.265625,64531.034092104
59,59,09,150,59980,0915059980,Plainfield,Windham,0901559980,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,199847882.582031,63582.379117793
60,60,09,180,71670,0918071670,Sprague,New London,0901171670,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,64110029.3320313,35633.2216595162
61,61,09,110,44910,0911044910,Mansfield,Tolland,0901344910,09013,Capitol Planning Region,20203,Capitol East,212865965.402344,69418.9393439609
62,62,09,150,01430,0915001430,Ashford,Windham,0901501430,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,184607517.417969,58130.0632179948
63,63,09,150,13810,0915013810,Chaplin,Windham,0901513810,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,91055729.2382813,39525.2718548756
64,64,09,150,21860,0915021860,Eastford,Windham,0901521860,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,136880511.332031,59378.6011526619
65,65,09,180,86790,0918086790,Windham,Windham,0901586790,09015,Southeastern Connecticut Planning Region,20402,Inland Southeastern,128727493.507813,56013.4899607376
66,66,09,180,29910,0918029910,Franklin,New London,0901129910,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,91804544.3554688,40613.5411286165
67,67,09,180,56270,0918056270,Norwich,New London,0901156270,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,136099723.800781,53853.5729648703
68,68,09,180,42390,0918042390,Lebanon,New London,0901142390,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,256353280.589844,74566.0627677781
69,69,09,180,06820,0918006820,Bozrah,New London,0901106820,09011,Southeastern Connecticut Planning Region,20402,Inland Southeastern,93679322.2421875,41251.8746011169
70,70,09,150,61030,0915061030,Pomfret,Windham,0901561030,09015,Northeastern Connecticut Planning Region,20301,Northeastern Planning Region & Stafford Town,189654511.328125,62306.1837329024
71,71,09,170,07310,0917007310,Branford,New Haven,0900907310,09009,South Central Connecticut Planning Region,20604,South Central East,128484448.441406,56041.5528044228
72,72,09,170,34950,0917034950,Guilford,New Haven,0900934950,09009,South Central Connecticut Planning Region,20604,South Central East,226631832.644531,79927.507220758
73,73,09,170,22910,0917022910,East Haven,New Haven,0900922910,09009,South Central Connecticut Planning Region,20604,South Central East,61993689.5703125,51845.6702946573
74,74,09,170,53890,0917053890,North Branford,New Haven,0900953890,09009,South Central Connecticut Planning Region,20604,South Central East,122713605.042969,52867.926481093
75,75,09,170,44560,0917044560,Madison,New Haven,0900944560,09009,South Central Connecticut Planning Region,20604,South Central East,168449582.394531,95597.4050485937
76,76,09,130,15350,0913015350,Clinton,Middlesex,0900715350,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,83890928.0507813,44000.9712018472
77,77,09,130,20810,0913020810,Durham,Middlesex,0900720810,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,109909481.058594,46739.836497911
78,78,09,130,35230,0913035230,Haddam,Middlesex,0900735230,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,213663318.574219,61822.8796379567
79,79,09,130,40710,0913040710,Killingworth,Middlesex,0900740710,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,164746835.960938,66567.0977521141
80,80,09,170,78740,0917078740,Wallingford,New Haven,0900978740,09009,South Central Connecticut Planning Region,20603,South Central North,184580318.054688,59754.7503045868
81,81,09,170,35650,0917035650,Hamden,New Haven,0900935650,09009,South Central Connecticut Planning Region,20603,South Central North,153453565.398438,70926.0056741844
82,82,09,130,22490,0913022490,East Hampton,Middlesex,0900722490,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,170870188.757813,64542.2472085688
83,83,09,130,47360,0913047360,Middletown,Middlesex,0900747360,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,196058142.519531,72681.7825238388
84,84,09,170,46520,0917046520,Meriden,New Haven,0900946520,09009,South Central Connecticut Planning Region,20603,South Central North,111474057.097656,50210.8161507487
85,85,09,130,47080,0913047080,Middlefield,Middlesex,0900747080,09007,Lower Connecticut River Valley Planning Region,20500,Lower Connecticut River Valley,61305457.7617188,31508.7537752973
86,86,09,190,04720,0919004720,Bethel,Fairfield,0900104720,09001,Western Connecticut Planning Region,20904,Western North,78337548.3242188,39349.5661779028
87,87,09,190,08980,0919008980,Brookfield,Fairfield,0900108980,09001,Western Connecticut Planning Region,20904,Western North,93858512.7851563,45841.7942437075
88,88,09,190,52630,0919052630,New Milford,Litchfield,0900552630,09005,Western Connecticut Planning Region,20904,Western North,295454113.457031,84615.5181418234
